sent,ne_info,amr_graph,amr_head_name,amr_role,amr_tail_name,umr_role,y_rules,comparison_results_0,comparison_results_1
It 's extremely troublesome to get there via land .,[],DiGraph with 5 nodes and 5 edges,get-05,:destination,there,:goal,:goal,,
She heated the oven to 250 degrees Celsius.,"[{'MISC': 'Celsius'}, {'PER': 'She'}]",DiGraph with 6 nodes and 6 edges,heat-01,:destination,temperature-quantity,,:goal,,
"He drove west, from Houston to Austin .","[{'LOC': 'Houston'}, {'LOC': 'Austin'}, {'PER': 'He'}]",DiGraph with 11 nodes and 11 edges,drive-01,:destination,city,:start,:goal,,
"He drove west, from Houston to Austin .","[{'LOC': 'Houston'}, {'LOC': 'Austin'}, {'PER': 'He'}]",DiGraph with 11 nodes and 11 edges,drive-01,:source,city,:start,:source,,
I drove to the store.,[{'PER': 'I'}],DiGraph with 3 nodes and 3 edges,drive-01,:destination,store,:goal,:goal,,
I walked up to the window.,[{'PER': 'I'}],DiGraph with 3 nodes and 3 edges,walk-01,:destination,window,:goal,:goal,,
The MiG-25 fired an AAM at the Predator.,"[{'MISC': 'MiG-25'}, {'MISC': 'AA'}, {'MISC': 'Predator'}]",DiGraph with 12 nodes and 12 edges,fire-01,:destination,aircraft-type,:instrument,:goal,,
The MiG-25 fired an AAM at the Predator.,"[{'MISC': 'MiG-25'}, {'MISC': 'AA'}, {'MISC': 'Predator'}]",DiGraph with 12 nodes and 12 edges,missile,:source,air,:source,:start,,
"For their honeymoon, the couple flew first class to Hawaii.","[{'LOC': 'Hawaii'}, {'B_human': 'couple'}]",DiGraph with 11 nodes and 11 edges,fly-01,:destination,state,:goal,:goal,,
"The boy murmured softly to soothe the girl, because he worried about her.","[{'B_human': 'boy'}, {'B_human': 'girl'}, {'PER': 'he'}, {'PER': 'her'}]",DiGraph with 8 nodes and 8 edges,murmur-01,:cause,worry-01,:reason,:cause,,
The old man died of lung cancer .,[{'B_human': 'man'}],DiGraph with 9 nodes and 9 edges,man,:mod,old,:mod,:mod,,
The old man died of lung cancer .,[{'B_human': 'man'}],DiGraph with 9 nodes and 9 edges,die-01,:ARG1-of,cause-01,:Cause-of,:cause,,
The match has been canceled due to the rain.,[],DiGraph with 4 nodes and 4 edges,cancel-01,:ARG1-of,cause-01,:cause,:cause,,
He was injured and therefore unable to play.,[{'PER': 'He'}],DiGraph with 7 nodes and 7 edges,injure-01,:ARG0-of,cause-01,:cause,:cause,,
"I can't do work at home, because she shouts at me.","[{'PER': 'I'}, {'PER': 'she'}, {'PER': 'me'}]",DiGraph with 8 nodes and 8 edges,possible-01 :polarity -,:ARG1-of,cause-01,:reason,:reason,,
The hospital has been vacated due to extensive damage.,[],DiGraph with 5 nodes and 5 edges,vacate-01,:ARG1-of,cause-01,:cause,:cause,,
Scores of people drowned when the boat sank.,[],DiGraph with 7 nodes and 7 edges,drown-02,:ARG1-of,cause-01,:cause,:cause,,
I must stop now as the shuttle leaves in 10 minutes.,[{'PER': 'I'}],DiGraph with 12 nodes and 12 edges,obligate-01,:ARG1-of,cause-01,:Cause-of,:cause,,
"John, please -- there are children in the audience.","[{'PER': 'John'}, {'B_human': 'children'}]",DiGraph with 10 nodes and 10 edges,reasonable-02,:ARG1-of,cause-01,:reason,:reason,,
She divorced him in part due to his alcoholism.,"[{'PER': 'She'}, {'PER': 'him'}]",DiGraph with 7 nodes and 7 edges,divorce-01,:ARG1-of,cause-01,:reason,:cause,,
I saw a cloud of dust .,[{'PER': 'I'}],DiGraph with 4 nodes and 4 edges,cloud,:consist-of,dust,:material,:material,,
a ring of gold,[],DiGraph with 2 nodes and 2 edges,ring,:consist-of,gold,:material,:material,,
The children's choir sang beautifully.,[],DiGraph with 4 nodes and 4 edges,choir,:consist-of,child,:group,:group,,
the eXchanger Inhibitory Peptide (XIP) region (residues 251-271) of NCX1,"[{'MISC': 'e'}, {'MISC': 'In'}, {'MISC': 'ory Peptide'}, {'MISC': 'NC'}]",DiGraph with 13 nodes and 13 edges,protein-segment,:consist-of,residue,:Material-of,:material,,
the eXchanger Inhibitory Peptide (XIP) region (residues 251-271) of NCX1,"[{'MISC': 'e'}, {'MISC': 'In'}, {'MISC': 'ory Peptide'}, {'MISC': 'NC'}]",DiGraph with 13 nodes and 13 edges,residue,:mod,value-interval,,:mod,,
"Workers described `` clouds of blue dust '' that hung over parts of the factory , even though exhaust fans ventilated the area .",[{'B_human': 'Workers'}],DiGraph with 14 nodes and 14 edges,cloud,:consist-of,dust,:material,:material,,
"Workers described `` clouds of blue dust '' that hung over parts of the factory , even though exhaust fans ventilated the area .",[{'B_human': 'Workers'}],DiGraph with 14 nodes and 14 edges,dust,:mod,blue,:mod,:mod,,
"Rush, Levin, Hannity, Savage etc all said Romney was the conservative candidate.","[{'PER': 'Rush'}, {'PER': 'Levin'}, {'PER': 'Hannity'}, {'PER': 'Savage'}, {'PER': 'Romney'}, {'B_human': 'candidate'}]",DiGraph with 26 nodes and 26 edges,candidate,:mod,conservative,:mod,:mod,,
"South Koreans rallied on January 11, 2002 in support of their right to eat dog meat.","[{'MISC': 'South Koreans'}, {'B_animal': 'dog'}]",DiGraph with 19 nodes and 19 edges,meat,:consist-of,dog,,:group,,
"South Koreans rallied on January 11, 2002 in support of their right to eat dog meat.","[{'MISC': 'South Koreans'}, {'B_animal': 'dog'}]",DiGraph with 19 nodes and 19 edges,person,:source,country,:group,:start,,
Religious extremism continues in Pakistan despite the banning of militant groups.,[{'LOC': 'Pakistan'}],DiGraph with 10 nodes and 10 edges,group,:consist-of,militant,,:material,,
Religious extremism continues in Pakistan despite the banning of militant groups.,[{'LOC': 'Pakistan'}],DiGraph with 10 nodes and 10 edges,extremism,:mod,religion,:mod,:mod,,
They will focus on the import of cheap chemical drugs made in Thailand.,"[{'LOC': 'Thailand'}, {'PER': 'They'}]",DiGraph with 11 nodes and 11 edges,drug,:consist-of,chemical,:material,:material,,
The boy met a girl from Spain .,"[{'LOC': 'Spain'}, {'B_human': 'boy'}, {'B_human': 'girl'}]",DiGraph with 7 nodes and 7 edges,girl,:source,country,,:start,,
"He drove west, from Houston to Austin .","[{'LOC': 'Houston'}, {'LOC': 'Austin'}, {'PER': 'He'}]",DiGraph with 11 nodes and 11 edges,drive-01,:destination,city,:source,:goal,,
"He drove west, from Houston to Austin .","[{'LOC': 'Houston'}, {'LOC': 'Austin'}, {'PER': 'He'}]",DiGraph with 11 nodes and 11 edges,drive-01,:source,city,:source,:start,,
 I backed away from the window.,[{'PER': 'I'}],DiGraph with 3 nodes and 3 edges,back-02,:source,window,:start,:start,,
These have all be vacated too from what I'm hearing.,[],DiGraph with 7 nodes and 7 edges,vacate-01,:mod,too,:mod,:mod,,
These have all be vacated too from what I'm hearing.,[],DiGraph with 7 nodes and 7 edges,vacate-01,:source,thing,:undergoer,:source,,
physicists from all over the world,[{'B_human': 'Ph'}],DiGraph with 3 nodes and 3 edges,physicist,:source,all-over,,:source,,
She got a master's degree in linguistics from UCLA.,"[{'ORG': 'UCLA'}, {'B_human': 'master'}, {'PER': 'She'}]",DiGraph with 9 nodes and 9 edges,degree,:mod,master,:mod,:mod,,
Hallmark could make a fortune off of this guy.,"[{'MISC': 'Hallmark'}, {'B_human': 'guy'}]",DiGraph with 9 nodes and 9 edges,guy,:mod,this,:mod,:mod,,
Hallmark could make a fortune off of this guy.,"[{'MISC': 'Hallmark'}, {'B_human': 'guy'}]",DiGraph with 9 nodes and 9 edges,fortune,:source,guy,:source,:source,,
It stimulates others to be big contributors so they may be in on the next wave of free cash from the boy king.,"[{'B_human': 'contributors'}, {'B_human': 'boy king'}, {'PER': 'they'}]",DiGraph with 15 nodes and 15 edges,wave-04,:mod,next,:mod,:mod,,
It stimulates others to be big contributors so they may be in on the next wave of free cash from the boy king.,"[{'B_human': 'contributors'}, {'B_human': 'boy king'}, {'PER': 'they'}]",DiGraph with 15 nodes and 15 edges,king,:mod,boy,:mod,:mod,,
It stimulates others to be big contributors so they may be in on the next wave of free cash from the boy king.,"[{'B_human': 'contributors'}, {'B_human': 'boy king'}, {'PER': 'they'}]",DiGraph with 15 nodes and 15 edges,cash,:source,king,:source,:start,,
The Wonder Tour will start from Hong Kong .,"[{'MISC': 'Wonder Tour'}, {'LOC': 'Hong Kong'}]",DiGraph with 12 nodes and 12 edges,start-01,:source,city,:start,:start,,
"After all , what are the joyful memories from inside paradise ?",[],DiGraph with 6 nodes and 6 edges,memory,:mod,joyful,:mod,:mod,,
"After all , what are the joyful memories from inside paradise ?",[],DiGraph with 6 nodes and 6 edges,memory,:mod,after-all,:mod,:mod,,
"After all , what are the joyful memories from inside paradise ?",[],DiGraph with 6 nodes and 6 edges,memory,:source,inside,,:start,,
